iter	Passed	Remaining
0	334	3348523
1	655	3274584
2	992	3308594
3	1299	3246424
4	1574	3147095
5	1833	3053877
6	2189	3126202
7	2520	3148333
8	2831	3142791
9	3168	3165612
10	3431	3116389
11	3688	3070209
12	4013	3083293
13	4324	3084772
14	4578	3047682
15	4857	3030957
16	5144	3021013
17	5398	2993597
18	5679	2983512
19	5910	2949437
20	6206	2949461
21	6468	2933623
22	6738	2922836
23	7000	2910048
24	7295	2910838
25	7656	2937108
26	7937	2931875
27	8273	2946602
28	8573	2947841
29	8864	2945843
30	9182	2952960
